久;jiǔ;Tính từ;Lâu;这一次打仗打得又凶又久。;;Lần này chiến tranh ác liệt và kéo dài.
旧;jiù;Tính từ;Cũ;多数旧电影片都是黑白的。;;Hầu hết các bộ phim cũ là đen trắng.
举行;jǔxíng;Động từ;Cử hành;他们举行晚会以庆祝胜利。;Tāmen jǔxíng wǎnhuì yǐ qìngzhù shènglì.;Họ tổ chức tiệc ăn mừng chiến thắng.
;;;"Tổ chức, thực hiện
…";;;
句子;jùzi;Danh từ;Câu;每个句子都有一个规范推导。;"Měi gè jùzi dōu yǒu yīgè guīfàn
tuīdǎo.";Mỗi câu đều có một dẫn xuất chính tắc.
决定;juédìng;Động từ;"Quyết
định";一旦做出决定就不要拖延。;"Yīdàn zuò chū juédìng jiù bùyào
tuōyán.";Đừng trì hoãn một khi quyết định được đưa ra.
课;kè;Danh từ;"Giờ, giờ
học";舞蹈课使她腿部肌肉发达。;Wǔdǎo kè shǐ tā tuǐ bù jīròu fādá.;Lớp học khiêu vũ khiến đôi chân của cô trở nên cơ bắp.
;;;Môn;;;
;;;Tiết học;;;
可爱;kě’ài;Tính từ;Đáng yêu;"一个个红石榴小姑娘绽放出可
爱的笑脸，躲在树枝间。";zhànfàng chū kě’ài de xiàoliǎn, duǒ;"N hững cô bé hoa lựu đỏ hé nở với khuôn mặt tươi
cười dễ thương, Nn hiện giữa những cành cây."
刻;kè;"Từ chỉ
thời gian";Khắc;刚才的恐怖立刻被忘却了。;"Gāngcái de kǒngbù lìkè bèi
wàngquèle.";Sự kinh hoàng vừa rồi lập tức bị quên đi.
客人;kèrén;Danh từ;Khách;我们这位客人要看轻你了。;;Khách của chúng tôi sẽ coi thường bạn.
空调;;Danh từ;Điều hòa;她调整了一下空调器。;Tā tiáozhěngle yīxià kòngtiáo qì.;Cô điều chỉnh máy lạnh.
口;kǒu;Danh từ;Mồm;他夸口他是最高的得分手。;"Tā kuākǒu tā shì zuìgāo de défēn
shǒu.";Anh khoe rằng mình là người ghi bàn nhiều nhất.
;;;Miệng;;;
哭;kū;Động từ;Khóc;我可并不想让你哭鼻子呀。;;Tôi không muốn bạn khóc.
裤子;kùzi;Danh từ;Quần;"当裤子失去皮带，才懂得什么
叫做依赖。";"Dāng kùzi shīqù pídài, cái dǒngdé
shénme jiàozuò yīlài.";Khi quần mất đai, họ hiểu thế nào là lệ thuộc.
筷子;kuàizi;Danh từ;Đũa;他用筷子不大熟练。;Tā yòng kuàizi bù dà shúliàn.;Anh ấy không thành thạo sử dụng đũa.
蓝;lán;Danh từ;"Màu
xanh";我们头顶上是蔚蓝的天空。;"Wǒmen tóudǐng shàng shì wèilán de
tiānkōng.";Phía trên chúng ta là bầu trời xanh.
老;lǎo;Tính từ;Già;可是我认为你是个老混蛋。;Kěshì wǒ rènwéi nǐ shìgè lǎo húndàn.;N hưng tôi nghĩ bạn là một tên khốn già.
;;;Cũ;;;
;;;Lâu năm;;;
离开;líkāi;Động từ;Rời xa;他转过身去，离开了房间。;,;Anh quay người rời khỏi phòng.
礼物;lǐwù;Danh từ;Quà tặng;我也给你预备了一件礼物。;Wǒ yě gěi nǐ yùbèile yī jiàn lǐwù.;Tôi cũng đã chuNn bị một món quà cho bạn.
;;;Lễ vật;;;
历史;lìshǐ;Danh từ;Lịch sử;有些历史书籍长达百余卷。;;Một số sách lịch sử hơn trăm quyển.
脸;liǎn;Danh từ;Mặt;越用心想他的脸崩得越紧。;;Càng nghĩ về điều đó, mặt anh càng sụp xuống.
练习;liànxí;Động từ;"Luyện
tập";"练习就是中考，中考就是练习
。";"Liànxí jiùshì zhōngkǎo, zhōngkǎo
jiùshì liànxí.";"Thực hành là kỳ thi tuyển sinh trung học, và kỳ thi
tuyển sinh trung học là thực hành."
辆;liàng;Lượng từ;Cỗ;我修我这辆汽车可费劲了。;;Tôi đang đấu tranh để sửa chữa chiếc xe của tôi.
了解;liǎojiě;Động từ;Hiểu;他会说，他了解得最清楚。;Tā huì shuō, tā liǎojiě dé zuì qīngchǔ.;Anh ấy sẽ nói rằng anh ấy biết rõ nhất.
邻居;línjū;Danh từ;"Hàng
xóm";白发苍苍的邻居张奶奶拄着拐杖，脸上笑得像一朵绽开的菊花。;Bái fà cāngcāng de línjū zhāng nǎinai zhǔzhe guǎizhàng, liǎn shàng xiào dé xiàng yī duǒ zhànkāi de júhuā.;Bà Trương hàng xóm tóc bạc phơ chống gậy, cười tươi như hoa cúc nở.
;;;"Láng
giềng";;;
楼;lóu;Danh từ;Tầng;我让她住在楼下免得碍事。;;Tôi để cô ấy sống ở tầng dưới để khỏi cản đường.
马;mǎ;Danh từ;Con ngựa;房间里马上变得暗淡无光。;Fángjiān lǐ mǎshàng biàn dé àndàn wú guāng.;Căn phòng ngay lập tức trở nên mờ mịt.
;;Họ, tên;Mã;;;
马上;"mǎshà
ng";Động từ;Lập tức;"命令一下达，大家马上行动起
来。";"Mìnglìng yīxià dá, dàjiā mǎshàng
xíngdòng qǐlái.";"Khi đơn hàng được giao, mọi người sẽ hành động
ngay lập tức."
满意;mǎnyì;Động từ;Hài lòng;假使不满意的话,可以退货。;Jiǎshǐ bu mǎnyì dehuà, kěyǐ tuìhuò.;N ếu không hài lòng có thể đổi trả hàng.
;;;Vừa ý;;;
帽子;màozi;Danh từ;Mũ;那人找到了帽子就安心了。;N à rén zhǎodàole màozi jiù ānxīnle.;"N gười đàn ông cảm thấy nhẹ nhõm khi tìm thấy
chiếc mũ."
米;mǐ;Danh từ;Cơm;我们在塌塌米上盘腿而坐。;Wǒmen zài tā tā mǐ shàng pántuǐ ér zuò.;Chúng tôi ngồi xếp bằng trên chiếu tatami.
;;;Gạo;;;
;;;Mễ;;;
面包;;Danh từ;Bánh mì;他们把面包和干酪当饭吃。;;Họ ăn bánh mì và pho mát.
面条;miàntiá o;Danh từ;Mì sợi;"他确实饿极了,一会儿将两大碗面条狼吞虎咽般吃得一干二净
。";"Tā quèshí è jíle, yīhuǐ’er jiāng liǎng dà wǎn miàntiáo lángtūnhǔyàn bān
chī dé yīgān èr jìng.";Anh thực sự rất đói, trong phút chốc anh đã ngấu nghiến hai tô mì lớn.
明白;;Động từ;Hiểu rõ;他终于开始明白了实情。;Tā zhōngyú kāishǐ míngbáile shíqíng.;Cuối cùng anh cũng bắt đầu hiểu ra sự thật.
拿;ná;Động từ;"Cầm,
nắm";你的丈夫去拿干净衣服了。;N ǐ de zhàngfū qù ná gānjìng yīfúle.;Chồng bạn đi lấy quần áo sạch.
奶奶;nǎinai;Danh từ;Bà nội;他是由他奶奶带大的。;Tā shì yóu tā nǎinai dài dà de.;Anh ấy được nuôi dưỡng bởi bà của mình.
南;nán;"Phương
vị từ";"Phía
N am";他的兄弟考取了南洋大学。;"Tā de xiōngdì kǎoqǔle nányáng
dàxué.";"Anh trai của anh đã được nhận vào Đại học N am
Dương."
难;nán;Động từ;Khó;大家都被这个问题难住了。;Dàjiā dōu bèi zhège wèntí nán zhùle.;Mọi người đều bối rối trước câu hỏi này.
难过;nánguò;Động từ;Buồn rầu;"你不要太难过，因为我一直都
在；你不会太寂寞，因为我不";"N ǐ bùyào tài nánguò, yīnwèi wǒ yīzhí
dōu zài; nǐ bù huì tài jìmò, yīnwèi wǒ";"Đừng quá buồn, vì tôi luôn ở đó, bạn sẽ không quá
cô đơn, vì tôi chưa bao giờ rời đi."
;;;Khó chịu;;;
年级;niánjí;Danh từ;Lớp;"校园南边是一年级小同学的地
方。";"Xiàoyuán nánbian shì yī niánjí xiǎo
tóngxué dì dìfāng.";"Phía nam của khuôn viên là nơi dành cho học sinh
đầu cấp."
年轻;"niánqīn
g";Tính từ;Trẻ;"老师今天显得很年轻，简直和
平时判若两人。";"Lǎoshī jīntiān xiǎndé hěn niánqīng,
jiǎnzhí hé píngshí pàn ruò liǎng rén.";"Cô giáo hôm nay trông rất trẻ, gần như hai người
đang yên bề gia thất."
;;;Trẻ tuổi;;;
鸟;niǎo;Danh từ;Chim;"今天我上爷爷家去玩，爷爷给
我捉了一只小鸟。";"Jīntiān wǒ shàng yéyé jiā qù wán,
yéyé gěi wǒ zhuōle yī zhǐ xiǎo niǎo.";"Hôm nay, tôi đến chơi nhà ông, và ông đã bắt được
một con chim."
努力;nǔlì;Động từ;Chăm chỉ;"我们要努力完成领导交给的任
务。";"Wǒmen yào nǔlì wánchéng lǐngdǎo
jiāo gěi de rènwù.";"Chúng tôi phải nỗ lực để hoàn thành nhiệm vụ mà
ban lãnh đạo giao cho."
;;;N ỗ lực;;;
爬山;páshān;Động từ;Leo núi;没有人爬山只为爬到山腰。;;Không ai leo núi chỉ để leo lên sườn núi.
盘子;pánzi;Danh từ;"Cái đĩa,
mâm";他把小费放在盘子下面了。;"Tā bǎ xiǎofèi fàng zài pánzi
xiàmiànle.";Anh ta đặt tiền boa dưới đĩa.
胖;pàng;Tính từ;"Mũm
mĩm";莫森的胖脸上堆满了笑容。;"Mò sēn de pàng liǎn shàng duī mǎnle
xiàoróng.";Khuôn mặt mũm mĩm của Mawson nở nụ cười.
啤酒;píjiǔ;Danh từ;Bia;啤酒受到压力从桶中流出。;;Bia chảy ra khỏi thùng dưới áp suất.
葡萄;pútáo;Danh từ;N ho;四瓶葡萄酒不够二十人喝。;Sì píng pútáojiǔ bùgòu èrshí rén hē.;Bốn chai rượu không đủ cho hai mươi người.
普通话;pǔtōng huà;Danh từ;"Tiếng phổ
thông";面向现代化，推广普通话。;Miànxiàng xiàndàihuà, tuīguǎng pǔtōnghuà.;Đối mặt với hiện đại hóa, thúc đNy tiếng phổ thông.
骑;qí;Động từ;Cưỡi;他骑着一匹深赤褐色的马。;Tā qízhe yī pǐ shēn chìhésè de mǎ.;Anh ta đang cưỡi một con ngựa màu nâu sẫm.
其实;qíshí;Liên từ;Kỳ thật;我找的书其实就在我面前。;"Wǒ zhǎo de shū qíshí jiù zài wǒ
miànqián.";"Cuốn sách tôi đang tìm kiếm thực sự đã ở ngay
trước mặt tôi."
;;;Thật ra;;;
其他;qítā;Liên từ;Cái khác;给我一些其他的吧。;Gěi wǒ yīxiē qítā de ba.;Đưa cho tôi một số người khác.
奇怪;qíguài;Tính từ;Kì quái;"一种奇怪的感觉一直困扰着他
。";"Yī zhǒng qíguài de gǎnjué yīzhí
kùnrǎozhe tā.";Một cảm giác kỳ lạ đã và đang ám ảnh anh.
铅笔;qiānbǐ;Danh từ;Bút máy;你的铅笔差点戳了我的眼睛。;"N ǐ de qiānbǐ chàdiǎn chuōle wǒ de
yǎnjīng.                 ,                        ,";Cây bút chì của bạn suýt chọc vào mắt tôi.
清楚;"qīngch
ǔ";Động từ;Rõ ràng;"想要什么，想清楚，选择，珍
惜，一如对你的婚姻。";xuǎnzé, zhēnxī, yī rú duì nǐ de;"N hững gì bạn muốn, suy nghĩ rõ ràng, lựa chọn và
trân trọng, giống như cuộc hôn nhân của bạn."
秋;qiū;Danh từ;Mùa thu;别计较我这么老气横秋的。;Bié jìjiào wǒ zhème lǎoqìhéngqiū de.;Đừng quan tâm đến việc tôi quá cổ hủ.
裙子;qúnzi;Danh từ;Váy;这条裙子的腰身需要缩小。;;Phần eo của váy này cần được giảm bớt.
然后;ránhòu;Từ nối;Sau đó;"一个人对社会，要先做出贡献
，然后才能索取。";"Yīgè rén duì shèhuì, yào xiān zuò
chū gòngxiàn, ránhòu cáinéng suǒqǔ.";"Một người phải đóng góp cho xã hội sau đó anh ta
mới có thể yêu cầu nó."
热情;rèqíng;Động từ;N hiệt tình;我们对翻然改进的人,应热情欢迎,不纠缠历史旧账。;"Wǒmen duì fānrán gǎijìn de rén, yīng
rèqíng huānyíng, bù jiūchán lìshǐ jiùzhàng.";"Chúng ta nên nhiệt liệt hoan nghênh những người đã có những cải tiến, và không nên vướng vào những
câu chuyện lịch sử."
认为;rènwéi;Động từ;Cho rằng;鲁迅先生认为，文学起源于劳动。;Lǔxùn xiānshēng rènwéi, wénxué qǐyuán yú láodòng.;"Ông Lỗ Tấn cho rằng văn học bắt nguồn từ lao
động."
;;;Thấy rằng (mục đích, suy nghĩ, tiên đoán thường đúng với kết quả xảy ra);;;
认真;"rènzhē
n";Động từ;Chăm chỉ;"对待生命要认真，对待生活要
活泼。";"Duìdài shēngmìng yào rènzhēn,
duìdài shēnghuó yào huópō.";Hãy sống một cách nghiêm túc và sôi nổi.
容易;róngyì;Tính từ;Dễ dàng;"好人很多的时候，坏人容易成
事。";"Hǎorén hěnduō de shíhòu, huàirén
róngyì chéngshì.";Khi có nhiều người tốt, người xấu rất dễ làm.
;;;dễ;;;
如果;rúguǒ;Từ nối;N ếu như;"如果明天下雨，我们就不去春
游了。";"Rúguǒ míngtiān xià yǔ, wǒmen jiù
bù qù chūnyóule.";"N ếu ngày mai trời mưa, chúng ta sẽ không đi chơi
xuân."
伞;sǎn;Danh từ;Cái ô;我的雨伞给吹得翻过去了。;;Chiếc ô của tôi đã bị thổi bay.
上网;shàng wǎng;Động từ;Lên mạng;穷人不上网，既是穷的结果，又成了更穷的原因。;"Qióngrén bù shàngwǎng, jìshì qióng de jiéguǒ, yòu chéngle gèng qióng de
yuányīn.";"Việc người nghèo không sử dụng Internet không chỉ
là kết quả của việc nghèo, mà còn là lý do để trở nên nghèo hơn."
生气;"shēngq
ì";Động từ;Tức giận;"不敢生气的是懦夫，不去生气
的才是智。";"Bù gǎn shēngqì de shì nuòfū, bù qù
shēngqì de cái shì zhì.";"Không dám tức giận là kẻ nhát gan, không đi bực
tức là người biết nghĩ."
;;;Giận;;;
声音;"shēngy
īn";Danh từ;"Âm
thanh";该影片画面与声音不同步。;"Gāi yǐngpiàn huàmiàn yǔ shēngyīn
bù tóngbù.";Màn hình video và âm thanh không đồng bộ.
使;shǐ;Động từ;Khiến, làm cho;"读书使我感到快乐，分享使我多了朋友，工作使我富有创意
。";"Dúshū shǐ wǒ gǎndào kuàilè, fēnxiǎng shǐ wǒ duōle péngyǒu,
gōngzuò shǐ wǒ fùyǒu chuàngyì.";Đọc sách khiến tôi vui vẻ, chia sẻ giúp tôi có thêm nhiều bạn và công việc khiến tôi sáng tạo.
世界;shìjiè;Danh từ;Thế giới;世界上到处都是罪恶横行。;;Thế giới đầy rẫy những điều xấu xa.
瘦;shòu;Tính từ;Gầy;你不必节食就已经够瘦的了。;"N ǐ bùbì jiéshí jiù yǐjīng gòu shòu
dele.";Bạn không cần phải ăn kiêng để đủ gầy.
舒服;shūfú;Tính từ;"Thoải
mái";爸爸，住在饭店里真舒服。;Bàba, zhù zài fàndiàn lǐ zhēn shūfú.;Bố, thật sự rất thoải mái khi sống trong một nhà hàng.
;;;Dễ chịu;;;
叔叔;shūshu;Danh từ;Chú;"叔叔秀气的鼻梁上架着一副金边眼镜，显得文质彬彬，英俊
潇洒。";"Shūshu xiùqì de bíliáng shàngjiàzhe
yī fù jīnbiān yǎnjìng, xiǎndé wénzhìbīnbīn, yīngjùn xiāosǎ.";Với cặp kính gọng vàng trên sống mũi thanh tú, ông chú trông thật hiền lành và điển trai.
树;shù;Danh từ;Cây;画中左边那棵树不合比例。;;Cây bên trái trong hình là không đúng tỷ lệ.
数学;shùxué;Danh từ;"Môn toán
học";她在数学成绩最好的班上。;"Tā zài shùxué chéngjī zuì hǎo de bān
shàng.";Cô ấy học giỏi môn Toán nhất lớp.
刷牙;shuāyá;Động từ;"Đánh
răng";"我们要养成天天刷牙漱口的良
好习惯。";"Wǒmen yào yǎng chéng tiāntiān
shuāyá shù kǒu de liánghǎo xíguàn.";"Chúng ta phải hình thành một thói quen tốt là đánh
răng và súc miệng mỗi ngày."
双;shuāng;"Từ chỉ số
lượng";Đôi;你穿的两只袜子不是一双。;N ǐ chuān de liǎng zhī wàzi bùshì yīshuāng.;Hai chiếc tất bạn mang không phải là một đôi.
;;Lượng từ;Đôi ….;;;
水平;;Danh từ;Trình độ;这个水平是渐近地逼近的。;;Mức này đang tiếp cận dần dần.
司机;sījī;Danh từ;Tài xế;司机启动车子沿大街开去。;Sījī qǐdòng chēzi yán dàjiē kāi qù.;Tài xế khởi động xe chạy dọc phố.
虽然;suīrán;Từ nối;Mặc dù;他们虽然穷，但很有骨气。;,;Tuy nghèo nhưng họ rất có cốt cách.
太阳;tàiyáng;Danh từ;Mặt trời;"早晨，我迎着初升的太阳去上
学。";"Zǎochén, wǒ yíngzhe chū shēng de
tàiyáng qù shàngxué.";Buổi sáng, tôi đến trường đối diện với mặt trời mọc.
糖;táng;Danh từ;Đường;我急忙到邻居家去借些糖。;;Tôi vội sang nhà hàng xóm mượn ít đường.
特别;tèbié;Tính từ;Đặc biệt;她的作品特别华丽而灵活。;Tā de zuòpǐn tèbié huálì ér línghuó.;"Các tác phNm của cô ấy đặc biệt lộng lẫy và linh
hoạt."
疼;téng;Tính từ;Đau;母亲对她和他都一样疼爱。;’;Mẹ yêu cô ấy nhiều như anh ấy.
提高;tígāo;Động từ;N âng cao;"提高全民安全素质必须从娃娃
抓起。";"Tígāo quánmín ānquán sùzhì bìxū
cóng wáwá zhuā qǐ.";"N âng cao sự an toàn của toàn dân phải bắt đầu từ
em bé."
体育;tǐyù;Danh từ;Thể dục;她不过是个体育教师而已。;Tā bùguò shìgè tǐyù jiàoshī éryǐ.;Cô ấy chỉ là một giáo viên dạy thể dục.
甜;Tián;Tính từ;N gọt;他尝遍了人生的酸甜苦辣。;;Anh đã nếm trải những thăng trầm của cuộc đời.
条;tiáo;Lượng từ;Dây, dải;这条船是作为游艇建造的。;"Zhè tiáo chuán shì zuòwéi yóutǐng
jiànzào de.";"Chiếc thuyền này được đóng như một chiếc du
thuyền."
同事;tóngshì;Danh từ;Cộng sự;他不顾同事的劝告辞了职。;Tā bùgù tóngshì de quàngào cíle zhí.;Anh từ chức bất chấp lời khuyên của các đồng nghiệp.
;;;"Đồng
nghiệp";;;
同意;tóngyì;Động từ;Đồng ý;"绝不同意为了成功而不择手段
，刻薄成家，理无久享。";"g
bùzéshǒuduàn, kèbó chéngjiā, lǐ wú";"Đừng bao giờ đồng ý rằng muốn thành công thì phải
lập gia thất, hưởng phúc lâu dài."
头发;tóufǎ;Danh từ;Tóc;她那一头剪短了的头发乱蓬蓬的，像个孵蛋的母鸡尾巴。;"Tā nà yītóu jiǎn duǎnle de tóufǎ
luànpéngpéng de, xiàng gè fū dàn de mǔ jī wěibā.";Mái tóc cắt tỉa của cô ấy bù xù, giống như đuôi gà mái đang ấp trứng.
突然;túrán;Từ nối;Đột nhiên, bất thình lình;你最好与前面的车保持相当的距离，以防它突然停下来。;N ǐ zuì hǎo yǔ qiánmiàn de chē bǎochí xiāngdāng de jùlí, yǐ fáng tā túrán tíng xiàlái.;Tốt hơn hết bạn nên giữ một khoảng cách đáng kể với xe phía trước đề phòng xe dừng đột ngột.
图书馆;"túshū
guǎn";Danh từ;Thư viện;"世界上最壮丽的宫殿是藏书最
多的图书馆。";gōngdiàn shì cángshū zuìduō de;"Cung điện tráng lệ nhất thế giới là thư viện có bộ
sưu tập sách lớn nhất."
腿;tuǐ;Danh từ;Đùi;我的两腿僵硬，行动不便。;"Wǒ de liǎng tuǐ jiāngyìng, xíngdòng
bùbiàn.";"Chân tôi bị cứng và tôi không thể di chuyển dễ
dàng."
完成;"wánch
éng";Động từ;"Hoàn
thành";"当天的作业要当天完成，不容
拖延。";"Dàngtiān de zuòyè yào dàngtiān
wánchéng, bùróng tuōyán.";"Bài tập trong ngày phải hoàn thành ngay trong ngày,
không để chậm trễ."
碗;wǎn;Danh từ;Bát;请把桌上的盘碗垫擦一下。;;Vui lòng lau thảm rửa chén trên bàn.
万;wàn;Số từ;Vạn;你一到那边，千万要来信。;,;Khi bạn đến đó, ngàn vạn đừng gửi thư về.
忘记;wàngjì;Động từ;Quên mất;她从不忘记每周给我写信。;"Tā cóng bù wàngjì měi zhōu gěi wǒ
xiě xìn.";Cô ấy không bao giờ quên viết thư cho tôi mỗi tuần.
位;wèi;Lượng từ;Vị, ngài;我们这位客人要看轻你了。;;Khách của chúng tôi sẽ coi thường bạn.
为;wèi;Động từ;"Vì, bởi
vì, do";举国悼念为国死难的烈士。;"Jǔguó dàoniàn wèi guó sǐnàn de
lièshì.";"Cả nước thương tiếc các liệt sĩ đã hy sinh vì đất
nước."
;;N;;;;
为了;wèile;Từ nối;Vì ….;我们是为了活命才打仗的。;"Wǒmen shì wèile huómìng cái
dǎzhàng de.";Chúng tôi đã chiến đấu để tồn tại.
;;Động từ;;;;
文化;"wénhu
à";Danh từ;Văn hóa;夜晚，江南文化园就更美了！;"Yèwǎn, jiāngnán wénhuà yuán jiù
gèng měile!";"Về đêm, công viên văn hóa Giang N am càng đẹp
hơn!"
西;xī;"Phương
vị từ";Tây;露西根本不愿听这样的话。;Lù xī gēnběn bù yuàn tīng zhèyàng dehuà.;Lucy không muốn nghe những lời như vậy chút nào.
;;Họ, tên;;;;
习惯;Xíguàn;Danh từ;"Thói
quen";所有的魅力在“习惯”面前都将无色。;Suǒyǒu de mèilì zài “xíguàn” miànqián dōu jiāng wú sè.;Mọi sự quyến rũ sẽ không màu khi đối mặt với “thói quen”.
;;;Tập quán;;;
洗手间;xǐshǒuj iān;Danh từ;"Phòng
rửa tay";只有坐在窗口的旅客才会起来上洗手间。;Zhǐyǒu zuò zài chuāngkǒu de lǚkè cái huì qǐlái shàng xǐshǒujiān.;Chỉ có những hành khách ngồi bên cửa sổ mới đứng dậy đi vệ sinh.
;;;N hà WC;;;
洗澡;xǐzǎo;Động từ;Tắm rửa;他洗澡时想出了这个主意。;Tā xǐzǎo shí xiǎng chūle zhège zhǔyì.;Anh ấy nảy ra ý tưởng này khi đang tắm.
喜欢;xǐhuān;Động từ;Thích;我不喜欢凌驾于他们之上。;;Tôi không thích ở trên họ.
现;xiàn;Danh từ;"Hiện
(nay)";我们现有的力量不能分散。;"Wǒmen xiàn yǒu de lìliàng bùnéng
fēnsàn.";"Sức mạnh hiện có của chúng ta không thể bị phân
tán."
香蕉;"xiāngji
āo";Danh từ;Quả chuối;坚持每天做一件相同的事，很能锻炼我们，试试便知。;"Jiānchí měitiān zuò yī jiàn xiāngtóng de shì, hěn néng duànliàn wǒmen, shì
shì biàn zhī.";"Hãy kiên trì thực hiện cùng một việc hàng ngày, nó có thể rèn luyện sức khỏe cho chúng ta rất nhiều,
hãy thử rồi biết."
相同;xiāngtó ng;Danh từ;"Tương
đồng";坚持每天做一件相同的事，很能锻炼我们，试试便知。;"Jiānchí měitiān zuò yī jiàn xiāngtóng de shì, hěn néng duànliàn wǒmen, shì
shì biàn zhī.";"Hãy kiên trì thực hiện cùng một việc hàng ngày, nó có thể rèn luyện sức khỏe cho chúng ta rất nhiều,
hãy thử rồi biết."
相信;"xiāngxì
n";Động từ;"Tin
tưởng";他们相信电荷载体是质子。;"Tāmen xiāngxìn diànhè zàitǐ shì
zhízǐ.";Họ tin rằng vật mang điện tích là proton.
像;xiàng;Động từ;"Ảnh,
tượng";她希望像水那般。;Tā xīwàng xiàng shuǐ nà bān.;Cô ấy hy vọng sẽ giống như nước.
小心;xiǎoxīn;Động từ;CNn thận;"我一辈子全靠谨慎小心，才躲
过了许多奇灾异难。";"Wǒ yībèizi quán kào jǐnshèn xiǎoxīn,
cái duǒguòle xǔduō qí zāiyì nán.";"Tôi đã sống sót qua nhiều phép lạ và thảm họa trong
suốt cuộc đời mình nhờ sự thận trọng."
校长;"xiàozh
ǎng";Danh từ;"Hiệu
trưởng";校长表彰了全优生和三好生。;"Xiàozhǎng biǎozhāngle quán
yōushēng hé sān hào shēng.";"Hiệu trưởng tuyên dương tất cả học sinh giỏi và ba
học sinh giỏi."
鞋;xié;Danh từ;Giày;她被一条树根绊住了雪鞋。;;Cô bị một gốc cây mắc vào móng tuyết.
新闻;xīnwén;Danh từ;Tin mới;新闻报道必须真实，不许有半点虚假。;Xīnwén bàodào bìxū zhēnshí, bùxǔ yǒu bàndiǎn xūjiǎ.;Các bản tin phải đúng sự thật và không được phép sai sự thật.
;;;"Tin tức
mới";;;
新鲜;xīnxiān;Tính từ;Tươi mới;"雨后，校园里的花开得格外新
鲜。";"Yǔ hòu, xiàoyuán lǐ de huā kāi dé
géwài xīnxiān.";"Sau cơn mưa, hoa trong khuôn viên trường nở rất
tươi."
信;xìn;Danh từ;Thư;当前没有可用的冲突信息。;"Dāngqián méiyǒu kěyòng de chōngtú
xìnxī.";Hiện tại không có thông tin xung đột có sẵn.
;;;Tin;;;
行李箱;"xínglǐx
iāng";Danh từ;Hành lý;"他无可奈何地插上钥匙，打开
行李箱。";"Tā wúkěnàihé de chā shàng yàoshi,
dǎkāi xínglǐ xiāng.";Anh miễn cưỡng tra chìa khóa và mở vali.
;;;vali;;;
兴趣;xìngqù;Động từ;"Cảm
hứng";我们对这一论题极感兴趣。;Wǒmen duì zhè yī lùntí jí gǎn xìngqù.;Chúng tôi vô cùng quan tâm đến chủ đề này.
;;;Hứng thú;;;
熊猫;"xióng
māo";Danh từ;Gấu trúc;"大熊猫身子胖，尾巴短，毛很
光滑。";"Dà xióngmāo shēnzi pàng, wěibā
duǎn, máo hěn guānghuá.";Gấu trúc khổng lồ béo, có đuôi ngắn và lông mượt.
需要;xūyào;Động từ;Yêu cầu;当政客你需要一张厚脸皮。;"Dāng zhèngkè nǐ xūyào yī zhāng hòu
liǎnpí.";"Bạn cần một sự táo bạo để trở thành một chính trị
gia."
选择;xuǎnzé;Động từ;Chọn lựa;"我们要做好人生的每一个选择
。";"Wǒmen yào zuò hǎo rénshēng de měi
yīgè xuǎnzé.";"Chúng ta phải thực hiện mọi lựa chọn trong cuộc
sống."
眼镜;yǎnjìng;Danh từ;Mắt kính;眼镜后面的眼珠子突凸出来。;"Yǎnjìng hòumiàn de yǎnzhū zi tū tú
chūlái.";N hãn cầu sau cặp kính lồi ra.
要求;yāoqiú;Động từ;Yêu cầu;此产品要求8MB 或更多内存。;"Cǐ chǎnpǐn yāoqiú 8MB huò gèng
duō nèicún.";Sản phNm này yêu cầu RAM 8MB trở lên.
爷爷;yéyé;Danh từ;Ông nội;"今天我上爷爷家去玩，爷爷给
我捉了一只小鸟。";"Jīntiān wǒ shàng yéyé jiā qù wán,
yéyé gěi wǒ zhuōle yī zhǐ xiǎo niǎo.";"Hôm nay, tôi đến chơi nhà ông nội, và ông đã bắt
được một con chim cho tôi."
一定;yīdìng;Liên từ;"N hất
định";我们一定要得到这些东西。;"Wǒmen yīdìng yào dédào zhèxiē
dōngxī.";Chúng ta phải có được những thứ này.
一共;yīgòng;Liên từ;"Tổng
cộng";他先后一共当了十年校长。;"Tā xiānhòu yīgòng dāngle shí nián
xiàozhǎng.";Anh ấy đã là hiệu trưởng được mười năm.
一会儿;yīhuǐ’e r;Danh từ;Một lát nữa;金鱼一会儿浮在水面，一会儿放在水中，一会儿沉在水底。;"Jīnyú yīhuǐ’er fú zài shuǐmiàn,
yīhuǐ’er fàng zài shuǐzhōng, yīhuǐ’er chén zài shuǐdǐ.";Cá vàng nổi trên mặt nước một lúc, thả vào nước một lúc thì chìm xuống đáy.
一样;yīyàng;Danh từ;N hư đúc,;我得到自由，就像鸟儿得到蓝天一样！;Wǒ dédào zìyóu, jiù xiàng niǎo er dédào lántiān yīyàng!;Tôi có được tự do, giống như một con chim được bầu trời xanh!
;;;"Giống
nhau";;;
以后;yǐhòu;Liên từ;Sau này;他死了以后，他太太疯了。;Tā sǐle yǐhòu, tā tàitài fēngle.;Sau khi anh chết, vợ anh như phát điên.
以前;yǐqián;Liên từ;"Trước
đây";我是从以前的立场后退了。;"Wǒ shì cóng yǐqián de lìchǎng
hòutuìle.";Tôi rút lui khỏi vị trí cũ của mình.
